Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
YKWK,100,8.84,8.84,8.53,8.74,2.78,2.96,2.84,2.86
YKWK,200,8.53,8.74,8.84,8.7,2.54,2.66,2.64,2.61
YKWK,300,8.01,8.53,8.64,8.39,2.41,2.49,2.64,2.51
YKWK,400,7.6,7.7,7.6,7.63,2.37,2.43,2.33,2.38
