Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ASI,100,12.68,12.68,12.99,12.78,4.18,4.18,4.25,4.2
ASI,200,12.58,12.16,12.68,12.47,4.1,3.98,4.08,4.05
ASI,300,12.58,11.75,13.1,12.48,4.08,3.96,4.06,4.03
ASI,400,12.89,12.27,12.68,12.61,4.12,4.08,4.02,4.07
