Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
TXHC,100,17.5,17.29,17.8,17.53,6.58,6.79,6.85,6.74
TXHC,200,16.68,16.89,16.68,16.75,6.23,6.36,6.19,6.26
TXHC,300,16.48,16.07,16.07,16.21,6.27,6.09,6.01,6.12
TXHC,400,15.87,15.36,15.87,15.7,5.88,5.9,6.09,5.96
