Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
NCC,100,15.9,14.97,16.01,15.63,5.67,5.46,5.69,5.61
NCC,200,14.35,13.93,14.66,14.31,5.32,5.34,5.53,5.4
NCC,300,13.83,13.93,14.14,13.97,4.98,5.2,5.24,5.14
NCC,400,13.62,12.37,13.93,13.31,5.06,4.69,5.1,4.95
