Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ZHAA,100,17.5,17.5,17.6,17.53,6.56,6.42,6.44,6.47
ZHAA,200,17.8,17.8,17.9,17.83,6.38,6.38,6.46,6.41
ZHAA,300,16.99,16.99,17.4,17.13,6.15,6.09,6.21,6.15
ZHAA,400,16.48,17.7,16.68,16.95,5.88,6.13,5.96,5.99
