Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ERMS,100,19.23,19.13,20.14,19.5,7.02,7.1,7.3,7.14
ERMS,200,18.41,19.74,18.62,18.92,6.6,6.97,6.66,6.74
ERMS,300,18.31,18.41,18.92,18.55,6.56,6.5,6.87,6.64
ERMS,400,18.72,18.72,17.7,18.38,6.67,6.64,6.34,6.55
