Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
NCC,100,25.36,24.53,25.78,25.22,9.53,9.12,9.51,9.39
NCC,200,25.47,25.78,25.16,25.47,9.51,9.57,9.49,9.52
NCC,300,25.68,25.57,24.74,25.33,9.49,9.71,9.04,9.41
NCC,400,25.78,25.05,23.7,24.84,9.02,9.14,8.65,8.94
