Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
TLV,100,38.15,37.84,37.33,37.77,15.77,15.58,15.21,15.52
TLV,200,36.62,37.64,37.44,37.23,15.27,15.15,15.35,15.26
TLV,300,35.91,34.89,36.22,35.67,14.73,14.22,14.86,14.6
TLV,400,33.98,32.55,32.25,32.93,13.81,13.58,13.27,13.55
