Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
NCC,100,15.59,14.97,16.11,15.56,5.61,5.65,5.79,5.68
NCC,200,14.14,14.55,14.45,14.38,5.32,5.42,5.5,5.41
NCC,300,13.72,12.99,14.14,13.62,4.98,4.61,5.18,4.92
NCC,400,12.99,12.89,13.1,12.99,4.65,4.63,4.77,4.68
