Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
TXHC,100,10.99,10.17,10.68,10.61,3.76,3.59,3.61,3.65
TXHC,200,10.07,10.38,11.39,10.61,3.59,3.55,3.82,3.65
TXHC,300,9.66,9.26,9.97,9.63,3.24,3.32,3.36,3.31
TXHC,400,8.55,9.05,9.46,9.02,2.95,3.14,3.18,3.09
