Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
THV,100,34.38,35.3,33.47,34.38,15.56,15.58,15.21,15.45
THV,200,32.15,32.76,33.98,32.96,14.4,14.67,15.13,14.73
THV,300,31.33,32.66,32.66,32.22,13.95,14.47,14.51,14.31
THV,400,31.23,30.42,30.72,30.79,13.93,13.66,13.74,13.78
