Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ERMS,100,11.29,10.68,11.29,11.09,3.9,3.59,3.78,3.76
ERMS,200,10.99,10.58,10.68,10.75,3.76,3.63,3.59,3.66
ERMS,300,9.87,10.07,9.56,9.83,3.41,3.51,3.34,3.42
ERMS,400,9.16,9.36,9.05,9.19,3.3,3.34,3.24,3.29
