Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ZHAA,100,18.21,17.7,17.8,17.9,6.54,6.44,6.62,6.53
ZHAA,200,18.62,18.21,17.7,18.18,6.58,6.56,6.29,6.48
ZHAA,300,16.99,17.7,16.68,17.12,6.03,6.31,6.07,6.14
ZHAA,400,16.89,17.29,16.89,17.02,5.92,5.94,6.13,6.0
