Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
TXHC,100,16.89,16.68,16.38,16.65,6.12,6.14,6.5,6.25
TXHC,200,16.07,15.87,16.28,16.07,5.79,5.81,6.17,5.92
TXHC,300,16.28,15.46,16.38,16.04,5.75,5.69,5.9,5.78
TXHC,400,15.16,16.07,15.16,15.46,5.69,5.75,5.5,5.65
