Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ERMS,100,12.0,11.82,11.93,11.92,4.07,4.0,4.04,4.04
ERMS,200,12.61,13.35,12.67,12.88,4.17,4.55,4.36,4.36
ERMS,300,12.88,12.84,13.29,13.0,4.43,4.4,4.57,4.47
ERMS,400,13.35,13.02,13.58,13.32,4.65,4.56,4.77,4.66
