Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
NCC,100,28.71,30.13,32.67,30.5,12.49,13.11,13.25,12.95
NCC,200,29.41,30.94,34.65,31.67,12.58,13.26,13.98,13.27
NCC,300,28.84,31.3,34.29,31.48,12.36,13.12,13.82,13.1
NCC,400,29.19,31.39,33.12,31.23,12.39,13.2,13.5,13.03
