Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
YKWK,100,12.42,12.59,12.46,12.49,4.48,4.53,4.49,4.5
YKWK,200,12.45,12.48,12.43,12.45,4.67,4.67,4.68,4.67
YKWK,300,12.2,12.19,12.26,12.22,4.49,4.49,4.51,4.5
YKWK,400,11.6,11.51,11.73,11.61,4.33,4.3,4.37,4.33
