Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
EBVS,100,29.4,29.4,29.41,29.4,12.03,12.03,12.05,12.04
EBVS,200,29.6,29.46,29.6,29.55,12.13,12.14,12.13,12.13
EBVS,300,27.94,28.0,28.0,27.98,11.61,11.66,11.62,11.63
EBVS,400,27.27,27.3,27.19,27.25,11.35,11.36,11.31,11.34
