Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ZHAA,100,10.2,9.5,10.67,10.12,3.61,3.48,4.0,3.7
ZHAA,200,11.02,10.52,10.64,10.73,3.91,3.87,3.95,3.91
ZHAA,300,10.86,11.17,10.57,10.87,3.96,4.22,3.85,4.01
ZHAA,400,10.67,11.36,10.77,10.93,3.87,4.13,3.8,3.93
