Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ZHAA,100,19.8,19.81,19.69,19.77,7.64,7.67,7.65,7.65
ZHAA,200,20.0,20.02,19.8,19.94,7.73,7.74,7.64,7.7
ZHAA,300,20.3,20.29,20.26,20.28,7.64,7.65,7.58,7.62
ZHAA,400,19.65,19.64,19.77,19.69,7.35,7.34,7.41,7.37
