Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
EBVS,100,25.03,27.05,23.86,25.31,10.89,11.9,10.42,11.07
EBVS,200,24.63,26.51,24.97,25.37,10.22,11.25,10.78,10.75
EBVS,300,24.7,25.66,25.18,25.18,10.37,10.86,10.73,10.65
EBVS,400,25.09,25.69,25.44,25.41,10.53,10.95,10.75,10.74
