Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
YBAA,100,16.46,19.86,20.65,18.99,5.91,7.17,7.49,6.86
YBAA,200,17.64,19.84,20.33,19.27,6.26,7.23,7.54,7.01
YBAA,300,17.55,19.58,19.75,18.96,6.35,7.09,7.33,6.92
YBAA,400,17.97,19.37,19.19,18.84,6.41,7.1,7.07,6.86
