Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
YBAA,100,11.7,11.59,11.59,11.63,3.74,3.71,3.7,3.72
YBAA,200,11.0,11.12,11.04,11.05,3.47,3.52,3.5,3.5
YBAA,300,10.86,10.73,10.81,10.8,3.44,3.43,3.44,3.44
YBAA,400,10.51,10.51,10.48,10.5,3.43,3.45,3.42,3.43
