Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
ASI,100,13.32,16.74,16.69,15.58,5.28,6.46,6.56,6.1
ASI,200,14.2,16.88,16.33,15.8,5.49,6.23,6.26,5.99
ASI,300,14.9,16.76,16.15,15.94,5.59,6.3,6.22,6.04
ASI,400,15.09,16.93,15.84,15.95,5.65,6.41,6.02,6.03
