Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
TLV,100,42.79,45.4,42.7,43.63,18.22,19.54,18.78,18.85
TLV,200,43.24,45.04,43.24,43.84,18.37,19.39,19.11,18.96
TLV,300,44.36,45.58,43.44,44.46,19.03,19.91,19.17,19.37
TLV,400,45.71,44.72,43.42,44.62,19.9,19.59,19.23,19.57
