Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
EBVS,100,44.97,43.99,44.89,44.62,20.35,20.07,20.22,20.21
EBVS,200,43.33,43.43,44.3,43.69,19.91,19.86,19.89,19.89
EBVS,300,42.18,43.06,42.82,42.69,19.28,19.64,19.49,19.47
EBVS,400,41.8,41.86,41.18,41.61,19.05,19.13,18.74,18.97
