Dataset,Size,WER_Seed1,WER_Seed2,WER_Seed3,WER_Avg,CER_Seed1,CER_Seed2,CER_Seed3,CER_Avg
YDCK,100,20.71,23.1,22.58,22.13,7.81,8.66,8.31,8.26
YDCK,200,21.4,22.81,22.1,22.1,7.96,8.63,8.11,8.23
YDCK,300,21.24,22.25,22.09,21.86,7.99,8.39,8.29,8.22
YDCK,400,20.89,21.84,21.33,21.35,7.81,8.27,8.03,8.04
